,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Idaho
6,Illinois
7,Iowa
8,Kansas
9,Kentucky
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,New Hampshire
20,Oklahoma
21,Oregon
22,Pennsylvania
23,Rhode Island
24,Tennessee
25,Vermont
26,West Virginia
27,Wisconsin
28,Wyoming
